id,cluster
P55978864_rev_001417,37
P55978864_rev_001142,37
P55978864_rev_001134,37
P55978864_rev_001344,36
P55978864_rev_001416,37
P55978864_rev_001296,37
P55978864_rev_001175,37
P55978864_rev_001097,37
P55978864_rev_001423,36
P55978864_rev_001443,-1
P55978864_rev_001236,5
P55978864_rev_001035,37
P55978864_rev_001479,37
P55978864_rev_001250,37
P55978864_rev_001345,37
P55978864_rev_001228,37
P55978864_rev_001335,37
P55978864_rev_001091,5
P55978864_rev_001248,37
P55978864_rev_001331,5
P55978864_rev_001396,37
P55978864_rev_001286,37
P55978864_rev_001399,37
P55978864_rev_001020,37
P55978864_rev_001496,37
P55978864_rev_001268,37
P55978864_rev_001109,37
P55978864_rev_001347,37
P55978864_rev_001459,37
P55978864_rev_001386,37
P55978864_rev_001480,37
P55978864_rev_001201,37
P55978864_rev_001394,37
P55978864_rev_001093,37
P55978864_rev_001041,37
P55978864_rev_001051,36
P55978864_rev_001357,37
P55978864_rev_001272,37
P55978864_rev_001187,37
P55978864_rev_001356,37
P55978864_rev_001128,36
P55978864_rev_001133,37
P55978864_rev_001074,37
P55978864_rev_001321,37
P55978864_rev_001451,37
P55978864_rev_001325,36
P55978864_rev_001491,37
P55978864_rev_001387,37
P55978864_rev_001441,36
P55978864_rev_001140,-1
P55978864_rev_001407,37
P55978864_rev_001492,37
P55978864_rev_001425,37
P55978864_rev_001163,37
P55978864_rev_001388,37
P55978864_rev_001262,37
P55978864_rev_001348,37
P55978864_rev_001164,36
P55978864_rev_001463,37
P55978864_rev_001216,37
P55978864_rev_001181,37
P55978864_rev_001066,-1
P55978864_rev_001021,36
P55978864_rev_001106,37
P55978864_rev_001227,37
P55978864_rev_001138,36
P55978864_rev_001414,37
P55978864_rev_001121,37
P55978864_rev_001016,37
P55978864_rev_001303,37
P55978864_rev_001415,37
P55978864_rev_001264,37
P55978864_rev_001493,37
P55978864_rev_001177,-1
P55978864_rev_001083,36
P55978864_rev_001143,37
P55978864_rev_001198,37
P55978864_rev_001284,36
P55978864_rev_001290,30
P55978864_rev_001005,5
P55978864_rev_001255,37
P55978864_rev_001486,37
P55978864_rev_001002,37
P55978864_rev_001371,37
P55978864_rev_001465,36
P55978864_rev_001256,37
P55978864_rev_001490,37
P55978864_rev_001477,5
P55978864_rev_001265,37
P55978864_rev_001173,37
P55978864_rev_001406,37
P55978864_rev_001322,37
P55978864_rev_001008,37
P55978864_rev_001482,37
P55978864_rev_001405,37
P55978864_rev_001102,37
P55978864_rev_001215,5
P55978864_rev_001040,5
P55978864_rev_001445,37
P55978864_rev_001350,37
